DMA,Name,Med HHld Income,Population 18+,HHld Exp - Public Transport
765,El Paso," $ 44,090 ","  768,905 ",  576 
632,Paducah-Cape Girardeau," $ 43,598 ","  739,582 ",  589 
570,Florence-Myrtle Beach," $ 43,245 ","  610,711 ",  562 
564,Charleston-Huntingdon," $ 43,225 ","  860,107 ",  593 
583,Alpena," $ 43,111 ","  31,131 ",  560 
644,Alexandria (LA)," $ 43,095 ","  177,072 ",  577 
734,Jonesboro," $ 43,042 ","  186,932 ",  563 
612,Shreveport," $ 42,867 ","  761,106 ",  603 
710,Hattiesburg-Laurel," $ 42,689 ","  224,906 ",  595 
552,Presque Isle," $ 41,754 ","  54,332 ",  554 
531,Tri-Cities (TN-VA)," $ 41,560 ","  639,781 ",  579 
749,Laredo," $ 41,110 ","  189,526 ",  558 
673,Columbus-Tupelo-West Point," $ 40,439 ","  373,314 ",  546 
559,Bluefield-Beckley," $ 40,086 ","  262,700 ",  560 
525,Albany (GA)," $ 38,539 ","  304,285 ",  553 
711,Meridian," $ 38,512 ","  131,697 ",  554 
636,Harlingen-Weslaco-Brownsville-McAllen," $ 37,457 ","  917,482 ",  526 
628,Monroe-El Dorado," $ 37,224 ","  358,032 ",  557 
647,Greenwood-Greenville," $ 31,859 ","  140,429 ",  510 
